Date : 2023-11-06 17:05:15
Directory : c:\Users\carso\GitHub\Website\static
Total : 284 files,  58591 codes, 8843 comments, 12634 blanks, all 80068 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\ca.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\cs.4f43e8e7d33a.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\cs.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\da.766346afe4dd.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\da.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\de.8a1c222b0204.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\de.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\dsb.56372c92d2f1.js         | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\dsb.js                      | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\el.27097f071856.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\el.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\en.cf932ba09a98.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\en.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\es.66dbc2652fb1.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\es.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\et.2b96fd98289d.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\et.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\eu.adfe5c97b72c.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\eu.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\fa.3b5bd1961cfd.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\fa.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\fi.614ec42aa9ba.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\fi.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\fr.05e0542fcfe6.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\fr.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\gl.d99b1fedaa86.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\gl.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\he.e420ff6cd3ed.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\he.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\hi.70640d41628f.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\hi.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\hr.a2b092cc1147.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\hr.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\hsb.fa3b55265efe.js         | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\hsb.js                      | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\hu.6ec6039cb8a3.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\hu.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\hy.c7babaeef5a6.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\hy.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\id.04debded514d.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\id.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\is.3ddd9a6a97e9.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\is.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\it.be4fe8d365b5.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\it.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\ja.170ae885d74f.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\ja.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\ka.2083264a54f0.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\ka.js                       | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\km.c23089cb06ca.js          | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\carso\GitHub\Website\static\admin\js\vendor\select2\i18n\km.js                       | JavaScript |          1 |          1 |          1 |          3 |
