"filename", "language", "Python", "CSS", "XML", "JavaScript", "HTML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-viewlink.41eb31f7826e.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-viewlink.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-yes.d2f9f035226a.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\icon-yes.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\inline-delete.fec1b761f254.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\inline-delete.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\search.7cf54ff789c6.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\search.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\selector-icons.b4555096cea2.svg", "XML", 0, 0, -34, 0, 0, 0, 0, 0, -1, -35
"c:\Users\carso\GitHub\Website\static\admin\img\selector-icons.svg", "XML", 0, 0, -34, 0, 0, 0, 0, 0, -1, -35
"c:\Users\carso\GitHub\Website\static\admin\img\sorting-icons.3a097b59f104.svg", "XML", 0, 0, -19, 0, 0, 0, 0, 0, -1, -20
"c:\Users\carso\GitHub\Website\static\admin\img\sorting-icons.svg", "XML", 0, 0, -19, 0, 0, 0, 0, 0, -1, -20
"c:\Users\carso\GitHub\Website\static\admin\img\tooltag-add.e59d620a9742.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\tooltag-add.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\tooltag-arrowright.bbfb788a849e.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\img\tooltag-arrowright.svg", "XML", 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\carso\GitHub\Website\static\admin\js\SelectBox.7d3ce5a98007.js", "JavaScript", 0, 0, 0, -111, 0, 0, 0, -5, -1, -117
"c:\Users\carso\GitHub\Website\static\admin\js\SelectBox.js", "JavaScript", 0, 0, 0, -111, 0, 0, 0, -5, -1, -117
"c:\Users\carso\GitHub\Website\static\admin\js\SelectFilter2.bdb8d0cc579e.js", "JavaScript", 0, 0, 0, -234, 0, 0, 0, -26, -24, -284
"c:\Users\carso\GitHub\Website\static\admin\js\SelectFilter2.js", "JavaScript", 0, 0, 0, -234, 0, 0, 0, -26, -24, -284
"c:\Users\carso\GitHub\Website\static\admin\js\actions.eac7e3441574.js", "JavaScript", 0, 0, 0, -174, 0, 0, 0, -7, -21, -202
"c:\Users\carso\GitHub\Website\static\admin\js\actions.js", "JavaScript", 0, 0, 0, -174, 0, 0, 0, -7, -21, -202
"c:\Users\carso\GitHub\Website\static\admin\js\admin\DateTimeShortcuts.9f6e209cebca.js", "JavaScript", 0, 0, 0, -317, 0, 0, 0, -65, -27, -409
"c:\Users\carso\GitHub\Website\static\admin\js\admin\DateTimeShortcuts.js", "JavaScript", 0, 0, 0, -317, 0, 0, 0, -65, -27, -409
"c:\Users\carso\GitHub\Website\static\admin\js\admin\RelatedObjectLookups.8609f99b9ab2.js", "JavaScript", 0, 0, 0, -203, 0, 0, 0, -13, -23, -239
"c:\Users\carso\GitHub\Website\static\admin\js\admin\RelatedObjectLookups.js", "JavaScript", 0, 0, 0, -203, 0, 0, 0, -13, -23, -239
"c:\Users\carso\GitHub\Website\static\admin\js\autocomplete.01591ab27be7.js", "JavaScript", 0, 0, 0, -28, 0, 0, 0, -2, -4, -34
"c:\Users\carso\GitHub\Website\static\admin\js\autocomplete.js", "JavaScript", 0, 0, 0, -28, 0, 0, 0, -2, -4, -34
"c:\Users\carso\GitHub\Website\static\admin\js\calendar.f8a5d055eb33.js", "JavaScript", 0, 0, 0, -178, 0, 0, 0, -28, -16, -222
"c:\Users\carso\GitHub\Website\static\admin\js\calendar.js", "JavaScript", 0, 0, 0, -178, 0, 0, 0, -28, -16, -222
"c:\Users\carso\GitHub\Website\static\admin\js\cancel.ecc4c5ca7b32.js", "JavaScript", 0, 0, 0, -24, 0, 0, 0, -3, -3, -30
"c:\Users\carso\GitHub\Website\static\admin\js\cancel.js", "JavaScript", 0, 0, 0, -24, 0, 0, 0, -3, -3, -30
"c:\Users\carso\GitHub\Website\static\admin\js\change_form.9d8ca4f96b75.js", "JavaScript", 0, 0, 0, -14, 0, 0, 0, -2, -1, -17
